,Score,Type,Text,BeginOffset,EndOffset
0,0.9760033488273621,LOCATION,BINNORIE,0,8
1,0.9922296404838562,QUANTITY,two king,38,46
2,0.9961838126182556,LOCATION,Binnorie,104,112
3,0.5466105937957764,PERSON,Sir,118,121
4,0.9628147482872009,PERSON,William,122,129
5,0.7975026369094849,PERSON,Sir,415,418
6,0.9877914190292358,PERSON,William,419,426
7,0.8399378657341003,QUANTITY,one fine,533,541
8,0.7559394240379333,LOCATION,bonny mill,644,654
9,0.6485549807548523,LOCATION,stream,655,661
10,0.9902695417404175,LOCATION,Binnorie,665,673
11,0.9942054152488708,LOCATION,Binnorie,924,932
12,0.955468475818634,PERSON,William,1341,1348
13,0.8524512648582458,PERSON,William,1441,1448
14,0.9729602932929993,LOCATION,Binnorie,1517,1525
15,0.945368230342865,LOCATION,Binnorie,2478,2486
16,0.9608592987060547,LOCATION,Binnorie,2641,2649
17,0.911735475063324,LOCATION,Binnorie,2857,2865
18,0.993843674659729,PERSON,William,3042,3049
19,0.9669814705848694,QUANTITY,first,3075,3080
20,0.9944667220115662,PERSON,Binnorie,3436,3444
21,0.928782045841217,PERSON,Binnorie,3448,3456
22,0.5101142525672913,ORGANIZATION,bonny mill,3509,3519
23,0.8993238806724548,PERSON,Binnorie,3528,3536
24,0.9983912110328674,PERSON,Hugh,3571,3575
25,0.9893679022789001,PERSON,Binnorie,3581,3589
26,0.9001192450523376,PERSON,Binnorie,3593,3601
27,0.969537615776062,PERSON,William,3620,3627
28,0.47474783658981323,ORGANIZATION,bonny mill,3656,3666
29,0.8460405468940735,PERSON,Binnorie,3675,3683
30,0.7530770897865295,ORGANIZATION,bonny mill-dams,3800,3815
31,0.4414304196834564,PERSON,Binnorie,3819,3827
32,0.7027329206466675,ORGANIZATION,bonny mill-dams,4042,4057
33,0.3397972881793976,PERSON,Binnorie,4061,4069
34,0.9610872268676758,PERSON,Dame Goody,16,26
35,0.7604893445968628,QUANTITY,One night,89,98
36,0.9718146324157715,PERSON,Dame Goody,282,292
37,0.9753894209861755,PERSON,Dame Goody,571,581
38,0.9806976914405823,PERSON,Dame Goody,844,854
39,0.9560786485671997,PERSON,Dame Goody,961,971
40,0.9794310927391052,PERSON,Dame Goody,1124,1134
41,0.9907327890396118,QUANTITY,two eyelids,1234,1245
42,0.6490469574928284,PERSON,Dame Goody,2050,2060
43,0.5439398288726807,PERSON,Dame Goody,2402,2412
