,Score,Type,Text,BeginOffset,EndOffset
0,0.7342475652694702,TITLE,"Sun, Moon",4,13
1,0.8692947030067444,PERSON,Wind,19,23
2,0.6148337125778198,QUANTITY,One,62,65
3,0.6871584057807922,PERSON,Sun,70,73
4,0.8123750686645508,TITLE,Moon,75,79
5,0.8985748887062073,PERSON,Wind,85,89
6,0.9852604269981384,QUANTITY,one,171,174
7,0.993126392364502,QUANTITY,both,273,277
8,0.9792420864105225,PERSON,Sun,278,281
9,0.9894781708717346,PERSON,Wind,286,290
10,0.5722090601921082,QUANTITY,every dainty,489,501
11,0.8296129107475281,QUANTITY,one,564,567
12,0.9953501224517822,PERSON,Sun,819,822
13,0.9991832375526428,PERSON,Wind,970,974
14,0.9990621209144592,PERSON,Moon,1158,1162
15,0.8578689694404602,PERSON,Star,1316,1320
16,0.9430949687957764,PERSON,Sun,1331,1334
17,0.49225401878356934,LOCATION,Moon,2069,2073
18,0.5438203811645508,QUANTITY,One,703,706
19,0.917262613773346,QUANTITY,four bags,959,968
20,0.8886005282402039,QUANTITY,thousands of rupees,1217,1236
21,0.9795682430267334,QUANTITY,ten cloth merchants,61,80
22,0.7836709022521973,QUANTITY,one morning,349,360
23,0.9514344930648804,QUANTITY,three notorious robbers,380,403
24,0.9392257332801819,QUANTITY,each,824,828
25,0.9981440901756287,QUANTITY,ten men,928,935
26,0.9881916642189026,QUANTITY,three monarchs,1041,1055
27,0.988915205001831,QUANTITY,ten merchants,1330,1343
28,0.9751867651939392,QUANTITY,one,1345,1348
29,0.9882137179374695,QUANTITY,three robbers,1518,1531
30,0.9752578139305115,QUANTITY,each,1967,1971
31,0.9858555793762207,QUANTITY,one sense,2168,2177
32,0.5100908279418945,QUANTITY,twice,2248,2253
33,0.9968460202217102,QUANTITY,two traders,2397,2408
34,0.9755306243896484,QUANTITY,one trader,2581,2591
35,0.9737473130226135,QUANTITY,Enty rupees,2612,2623
36,0.9464535117149353,QUANTITY,ten rupees,2655,2665
37,0.929083526134491,QUANTITY,three,2833,2838
38,0.8180714249610901,QUANTITY,enty,2841,2845
39,0.9847072958946228,QUANTITY,ten,2853,2856
40,0.9148532748222351,QUANTITY,one,2874,2877
41,0.9968712329864502,QUANTITY,ten men,2957,2964
42,0.8508245944976807,QUANTITY,three,2983,2988
43,0.9885740280151367,QUANTITY,three,2998,3003
44,0.9839373230934143,QUANTITY,each,3017,3021
45,0.9833669662475586,QUANTITY,nine,3038,3042
46,0.9146372079849243,QUANTITY,one,3093,3096
47,0.9854812622070312,QUANTITY,three thieves,3171,3184
48,0.994044303894043,QUANTITY,third time,3374,3384
49,0.8137853741645813,QUANTITY,three,3511,3516
50,0.9943945407867432,QUANTITY,each party,3522,3532
51,0.8926664590835571,QUANTITY,one,3569,3572
52,0.9640547037124634,QUANTITY,six cubits,3650,3660
53,0.8127171397209167,QUANTITY,three bags of rice,3774,3792
54,0.9965065717697144,QUANTITY,ten traders,3799,3810
55,0.8567706346511841,TITLE,The Ass in the Lion's Skin,0,26
56,0.9800381660461426,PERSON,Brahma-datta,69,81
57,0.9918428659439087,LOCATION,Benares,98,105
58,0.9962426424026489,PERSON,Buddha,118,124
59,0.9229526519775391,QUANTITY,one,134,137
60,0.9446110725402832,QUANTITY,each place,326,336
61,0.6950843930244446,QUANTITY,one,591,594
62,0.9639720320701599,PERSON,Buddha,1119,1125
63,0.9842042922973633,QUANTITY,First Verse,1141,1152
64,0.8653979301452637,QUANTITY,Second Verse,1518,1530
65,0.840945839881897,PERSON,Svabhavak_ri_pa_n_a,74,93
66,0.7320524454116821,QUANTITY,hundred rupees,462,476
67,0.7917554974555969,QUANTITY,couple of goats,508,523
68,0.8071449398994446,QUANTITY,every six months,551,567
69,0.9193313121795654,QUANTITY,four wings,918,928
70,0.9422056674957275,PERSON,Somasarman,1075,1085
71,0.9327608942985535,PERSON,Somasarman,1788,1798
72,0.5120993256568909,LOCATION,Ram,475,478
73,0.9645041823387146,QUANTITY,three girdle-cakes,556,574
74,0.8150752782821655,PERSON,Ram,623,626
75,0.9757861495018005,QUANTITY,First,629,634
76,0.42240965366363525,OTHER,Brahman,644,651
77,0.9353315234184265,LOCATION,Ram,716,719
78,0.9756429195404053,PERSON,Ram,1209,1212
79,0.8732529282569885,PERSON,Ram,1346,1349
80,0.9968568086624146,PERSON,Ram,1419,1422
81,0.9370173215866089,QUANTITY,one condition,2975,2988
82,0.853111743927002,QUANTITY,double,3044,3050
83,0.9331097602844238,QUANTITY,double,3555,3561
84,0.9987117052078247,QUANTITY,two,3905,3908
85,0.9756283760070801,QUANTITY,two beautiful new wells,3912,3935
86,0.9500753879547119,QUANTITY,one eye,4164,4171
87,0.9855107069015503,QUANTITY,both,4249,4253
88,0.9911367893218994,QUANTITY,two new wells,4298,4311
89,0.9556553363800049,QUANTITY,one,4326,4329
90,0.7451268434524536,QUANTITY,one,4447,4450
91,0.5073748826980591,OTHER,Brahman,63,70
92,0.9917314648628235,PERSON,Haridatta,77,86
93,0.8614906072616577,QUANTITY,One day,153,160
94,0.8102339506149292,QUANTITY,a doze,270,276
95,0.940576434135437,DATE,Next morning,856,868
96,0.5920391082763672,QUANTITY,One,1040,1043
97,0.6309354305267334,DATE,Next,1205,1209
98,0.8297743797302246,DATE,next day,1378,1386
99,0.696243405342102,DATE,Two,1730,1733
100,0.5172948241233826,QUANTITY,days,1734,1738
101,0.9435781836509705,PERSON,Lambikin,4,12
102,0.9955196380615234,PERSON,Lambikin,52,60
103,0.7646952271461487,QUANTITY,one day,146,153
104,0.9854925274848938,PERSON,Lambikin,354,362
105,0.9625805020332336,PERSON,Lambikin,364,372
106,0.9989010095596313,PERSON,Lambikin,411,419
107,0.8903257250785828,PERSON,Jackal,550,556
108,0.9972757697105408,PERSON,Lambikin,590,598
109,0.6049258708953857,PERSON,Vulture,625,632
110,0.816625714302063,PERSON,Vulture,642,649
111,0.9969057440757751,PERSON,Lambikin,708,716
112,0.9937751293182373,PERSON,Lambikin,718,726
113,0.9985527396202087,PERSON,Lambikin,765,773
114,0.6574300527572632,PERSON,Vulture,905,912
115,0.9987694621086121,PERSON,Lambikin,946,954
116,0.5818583369255066,QUANTITY,Dog,1015,1018
117,0.9965879917144775,PERSON,Lambikin,1096,1104
118,0.9948092699050903,PERSON,Lambikin,1106,1114
119,0.9994627833366394,PERSON,Lambikin,1168,1176
120,0.9970080256462097,PERSON,Lambikin,1601,1609
121,0.9978612661361694,QUANTITY,seven days,1621,1631
122,0.9980735778808594,PERSON,Lambikin,1781,1789
123,0.9926803708076477,PERSON,Lambikin,1949,1957
124,0.9985663294792175,PERSON,Lambikin,2240,2248
125,0.9471486806869507,PERSON,Eagle,2342,2347
126,0.9917811751365662,PERSON,Drumikin,2371,2379
127,0.9883202314376831,PERSON,Drumikin,2381,2389
128,0.9962185025215149,PERSON,Lambikin,2409,2417
129,0.9995248317718506,PERSON,Lambikin,2429,2437
130,0.9816408753395081,PERSON,Drumikin,2539,2547
131,0.8628485202789307,PERSON,Eagle,2601,2606
132,0.9984850287437439,PERSON,Lambikin,2678,2686
133,0.5175185799598694,QUANTITY,Every,2783,2788
134,0.9824609160423279,PERSON,Drumikin,2847,2855
135,0.9845188856124878,PERSON,Drumikin,2857,2865
136,0.9948824644088745,PERSON,Lambikin,2885,2893
137,0.9455984234809875,QUANTITY,each,2904,2908
138,0.9972472786903381,PERSON,Drumikin,3004,3012
139,0.8901739716529846,PERSON,Jackal,3161,3167
140,0.9963420033454895,PERSON,Drumikin,3264,3272
141,0.997343122959137,PERSON,Drumikin,3274,3282
142,0.9903972148895264,PERSON,Lambikin,3302,3310
143,0.9982989430427551,PERSON,Lambikin,3318,3326
144,0.9970306158065796,PERSON,Drumikin,3436,3444
145,0.9321801662445068,PERSON,Jackal,3497,3503
146,0.9433395266532898,PERSON,Hullo,3546,3551
147,0.9987627267837524,PERSON,Drumikin,3650,3658
148,0.9870536923408508,PERSON,Lambikin,3674,3682
149,0.8994390964508057,QUANTITY,one time,47,55
150,0.9886496067047119,LOCATION,Himavanta,78,87
151,0.8181855082511902,PERSON,Brahmadatta,110,121
152,0.9949970245361328,LOCATION,Benares,151,158
153,0.9953702688217163,QUANTITY,two jaws,774,782
154,0.932225227355957,QUANTITY,one end,865,872
155,0.9137464165687561,QUANTITY,one day,1124,1131
156,0.9960259795188904,QUANTITY,first verse,1273,1284
157,0.9974468350410461,QUANTITY,second verse,1464,1476
158,0.9832677245140076,QUANTITY,two other verses,1652,1668
159,0.6686462163925171,PERSON,Gautama the Buddha,2021,2039
160,0.8257225155830383,PERSON,Devadatta the,2104,2117
161,0.9740040898323059,TITLE,THE LION AND THE CRANE,2179,2201
162,0.5911545157432556,PERSON,Pigeon,4,10
163,0.4189390242099762,TITLE,the Crow,15,23
164,0.7172300815582275,PERSON,Bodhisatta,64,74
165,0.9399356245994568,PERSON,Pigeon,401,407
166,0.6954007148742676,PERSON,Crow,476,480
167,0.9956650137901306,PERSON,Crow,506,510
168,0.8490211963653564,PERSON,Pigeon,630,636
169,0.6023511290550232,PERSON,Crow,678,682
170,0.8721982836723328,PERSON,Pigeon,716,722
171,0.949154794216156,PERSON,Hullo,890,895
172,0.9974024295806885,PERSON,Pigeon,901,907
173,0.6752726435661316,QUANTITY,One,946,949
174,0.5747084617614746,PERSON,Pigeon,1068,1074
175,0.9843073487281799,PERSON,Pigeon,1337,1343
176,0.7636536359786987,PERSON,Crow,1351,1355
177,0.9953254461288452,PERSON,Crow,1369,1373
178,0.9096964001655579,PERSON,Crows,1476,1481
179,0.9465174078941345,PERSON,Pigeon,1516,1522
180,0.9924511313438416,PERSON,Pigeon,1820,1826
181,0.997833788394928,PERSON,Crow,1974,1978
182,0.6886518597602844,QUANTITY,one,2154,2157
183,0.8836603760719299,PERSON,Pigeon,2889,2895
184,0.9922826290130615,QUANTITY,third verse,2912,2923
185,0.9505741000175476,PERSON,Pigeon,3084,3090
186,0.9853724837303162,PERSON,Buddha,36,42
187,0.9541923403739929,PERSON,Brahma-datta,86,98
188,0.9909330606460571,LOCATION,Benares,115,122
189,0.9924443364143372,PERSON,Buddha,319,325
190,0.9910247325897217,LOCATION,Himalaya,470,478
191,0.9911839962005615,QUANTITY,Two young hamsas,502,518
192,0.9028608202934265,QUANTITY,one day,586,593
193,0.9650495052337646,LOCATION,Golden Cave,718,729
194,0.6720021963119507,LOCATION,Mount Beautiful,733,748
195,0.9170317053794861,LOCATION,Himalaya,756,764
196,0.9889184832572937,QUANTITY,two ends,1080,1088
197,0.9918343424797058,QUANTITY,Two wild ducks,1199,1213
198,0.9924871921539307,LOCATION,Benares,1473,1480
199,0.9930873513221741,QUANTITY,two,1564,1567
200,0.9920044541358948,QUANTITY,two,1665,1668
201,0.9893621802330017,PERSON,Buddha,1717,1723
202,0.9612602591514587,PERSON,Bodisat,1815,1822
203,0.9927436113357544,PERSON,Buddha,1879,1885
204,0.8216174840927124,PERSON,Bodisat,2941,2948
205,0.41454678773880005,PERSON,Brahman,577,584
206,0.9656175971031189,QUANTITY,first three things,948,966
207,0.9820681214332581,QUANTITY,first,1045,1050
208,0.479160875082016,QUANTITY,one,1214,1217
209,0.93973708152771,PERSON,Brahman,2102,2109
210,0.4652602970600128,PERSON,Brahman,2163,2170
211,0.9015669226646423,QUANTITY,one ear,2538,2545
212,0.531507670879364,PERSON,Brahman,2738,2745
213,0.9971621632575989,QUANTITY,five minutes,3025,3037
214,0.8289359211921692,QUANTITY,single detail,3239,3252
