,Score,Type,Text,BeginOffset,EndOffset
0,0.9914228320121765,PERSON,CLEVER GRETEL,0,13
1,0.9994962215423584,PERSON,Gretel,43,49
2,0.7498831748962402,QUANTITY,day,502,505
3,0.9996110796928406,PERSON,Gretel,520,526
4,0.8083903789520264,DATE,this evening,552,564
5,0.9919595122337341,QUANTITY,two fowls,577,586
6,0.9997461438179016,PERSON,Gretel,640,646
7,0.9957455992698669,QUANTITY,two fowls,659,668
8,0.9996026158332825,PERSON,Gretel,883,889
9,0.9994899034500122,PERSON,Gretel,1178,1184
10,0.8049143552780151,QUANTITY,one side,1217,1225
11,0.5477525591850281,QUANTITY,one,1283,1286
12,0.6997208595275879,PERSON,God,1427,1430
13,0.9993756413459778,PERSON,Gretel,1449,1455
14,0.9992030262947083,PERSON,Gretel,1728,1734
15,0.9236965179443359,QUANTITY,One,2076,2079
16,0.9847196936607361,QUANTITY,two wings,2316,2325
17,0.9992333650588989,PERSON,Gretel,2525,2531
18,0.8062753677368164,QUANTITY,one fowl,2549,2557
19,0.6668391823768616,PERSON,God,2675,2678
20,0.975178062915802,QUANTITY,one chicken,2776,2787
21,0.7302067875862122,QUANTITY,one of the chickens,2808,2827
22,0.9997287392616272,PERSON,Gretel,2883,2889
23,0.9673506021499634,QUANTITY,two,2968,2971
24,0.9894638657569885,QUANTITY,second chicken,3147,3161
25,0.9929732084274292,QUANTITY,first,3173,3178
26,0.9996877908706665,PERSON,Gretel,3256,3262
27,0.9998231530189514,PERSON,Gretel,3347,3353
28,0.9997591376304626,PERSON,Gretel,3608,3614
29,0.9862759709358215,QUANTITY,two ears,3894,3902
30,0.9995631575584412,PERSON,Gretel,4042,4048
31,0.9997140765190125,PERSON,Gretel,4146,4152
32,0.8611730933189392,QUANTITY,one,4399,4402
33,0.9434706568717957,QUANTITY,one,4580,4583
34,0.8890795707702637,QUANTITY,one,4590,4593
35,0.9771707653999329,QUANTITY,one chicken,4641,4652
36,0.9918559789657593,QUANTITY,both,4667,4671
37,0.9278819561004639,QUANTITY,one,4742,4745
38,0.7273489832878113,QUANTITY,ears,4753,4757
39,0.989815354347229,QUANTITY,both,4824,4828
40,0.6459022760391235,PERSON,DOCTOR,0,6
41,0.689524233341217,PERSON,KNOWALL,7,14
42,0.9805225729942322,PERSON,Crabb,65,70
43,0.99652498960495,QUANTITY,two oxen,87,95
44,0.481015145778656,QUANTITY,load,98,102
45,0.9972724318504333,QUANTITY,two talers,152,162
46,0.8805775046348572,QUANTITY,first place,575,586
47,0.9828774929046631,QUANTITY,second,671,677
48,0.9919149875640869,QUANTITY,two oxen,703,711
49,0.8892044425010681,QUANTITY,thirdly,797,804
50,0.8858981728553772,PERSON,Doctor,861,867
51,0.8658496737480164,PERSON,Knowall,868,875
52,0.9427968859672546,PERSON,Doctor,1100,1106
53,0.9379839301109314,PERSON,Knowall,1107,1114
54,0.9975700974464417,PERSON,Crabb,1287,1292
55,0.893553614616394,PERSON,Doctor,1304,1310
56,0.8935539126396179,PERSON,Knowall,1311,1318
57,0.9944024682044983,PERSON,Grete,1416,1421
58,0.9935884475708008,QUANTITY,both,1476,1480
59,0.9986094236373901,PERSON,Crabb,1619,1624
60,0.9968655705451965,PERSON,Grete,1674,1679
61,0.9860597848892212,QUANTITY,first servant,1754,1767
62,0.9948232173919678,PERSON,Grete,1843,1848
63,0.9919557571411133,QUANTITY,first,1863,1868
64,0.9882541298866272,QUANTITY,first dish,1916,1926
65,0.9703224301338196,QUANTITY,first thief,1999,2010
66,0.9861246943473816,QUANTITY,first,2151,2156
67,0.9687036871910095,QUANTITY,second,2163,2169
68,0.868470311164856,PERSON,Grete,2290,2295
69,0.9872999787330627,QUANTITY,second,2309,2315
70,0.9875204563140869,QUANTITY,third,2392,2397
71,0.9207541346549988,PERSON,Grete,2444,2449
72,0.9908958077430725,QUANTITY,third,2463,2468
73,0.9863357543945312,QUANTITY,fourth,2475,2481
74,0.984952986240387,PERSON,Crabb,2726,2731
75,0.9474570751190186,QUANTITY,four,2988,2992
76,0.9866505861282349,QUANTITY,fifth servant,3427,3440
77,0.7552717328071594,PERSON,Doctor,3864,3870
78,0.9953646659851074,PERSON,Knowall,3871,3878
79,0.9805832505226135,QUANTITY,both sides,3969,3979
80,0.9860729575157166,QUANTITY,FIRST STORY,0,11
81,0.9865478277206421,QUANTITY,nine tails,56,66
82,0.9956793189048767,PERSON,Fox,260,263
83,0.9686864614486694,PERSON,Cat,321,324
84,0.9664673209190369,PERSON,Cat,592,595
85,0.9983886480331421,PERSON,Fox,839,842
86,0.9979044198989868,PERSON,Fox,978,981
87,0.9983256459236145,PERSON,Fox,1189,1192
88,0.9094383120536804,QUANTITY,nine,1338,1342
89,0.9988786578178406,PERSON,Fox,1377,1380
90,0.9141564965248108,QUANTITY,one,1424,1427
91,0.6848209500312805,PERSON,Cat,1464,1467
92,0.9978590607643127,PERSON,Fox,1604,1607
93,0.9935399889945984,QUANTITY,two tails,1616,1625
94,0.9813970327377319,QUANTITY,first,1663,1668
95,0.9772241115570068,QUANTITY,each,1698,1702
96,0.9396774172782898,QUANTITY,one tail,1708,1716
97,0.4893757998943329,QUANTITY,one,1783,1786
98,0.9966140389442444,QUANTITY,nine tails,1800,1810
99,0.9975714087486267,PERSON,Fox,1824,1827
100,0.9969891905784607,PERSON,Fox,1947,1950
101,0.9958993792533875,PERSON,Fox,2021,2024
102,0.9958193302154541,PERSON,Fox,2103,2106
103,0.9945017099380493,PERSON,FUNDEVOGEL,0,10
104,0.9871426820755005,PERSON,Lina,569,573
105,0.9980193376541138,QUANTITY,two children,612,624
106,0.5718876123428345,QUANTITY,one,651,654
107,0.9650671482086182,PERSON,Fundevogel,696,706
108,0.9992220401763916,PERSON,Fundevogel,744,754
109,0.9993419051170349,PERSON,Lina,759,763
110,0.5335137844085693,QUANTITY,each,818,822
111,0.9578249454498291,QUANTITY,one evening,883,894
112,0.996049165725708,QUANTITY,two pails,900,909
113,0.6914061307907104,QUANTITY,once,951,955
114,0.999030590057373,PERSON,Lina,997,1001
115,0.9965123534202576,PERSON,Sanna,1034,1039
116,0.9994490742683411,PERSON,Lina,1143,1147
117,0.9337916374206543,DATE,Early tomorrow morning,1220,1242
118,0.9969323873519897,PERSON,Fundevogel,1355,1365
119,0.9620673060417175,DATE,Early next morning,1394,1412
120,0.9991470575332642,PERSON,Lina,1513,1517
121,0.9989431500434875,PERSON,Fundevogel,1526,1536
122,0.9994298815727234,PERSON,Fundevogel,1596,1606
123,0.9997579455375671,PERSON,Lina,1665,1669
124,0.9876845479011536,DATE,Last night,1694,1704
125,0.9993207454681396,PERSON,Sanna,1710,1715
126,0.520268440246582,QUANTITY,buckets,1732,1739
127,0.5538906455039978,QUANTITY,water,1743,1748
128,0.9157352447509766,DATE,early tomorrow morning,1880,1902
129,0.9978616237640381,QUANTITY,two children,2077,2089
130,0.9994339346885681,PERSON,Fundevogel,2233,2243
131,0.9951292276382446,QUANTITY,both,2311,2315
132,0.9980519413948059,QUANTITY,three servants,2561,2575
133,0.9973469376564026,QUANTITY,three servants,2719,2733
134,0.9997305274009705,PERSON,Lina,2743,2747
135,0.9995250701904297,PERSON,Fundevogel,2756,2766
136,0.9993962049484253,PERSON,Fundevogel,2814,2824
137,0.9997361302375793,PERSON,Lina,2866,2870
138,0.9981509447097778,QUANTITY,three servants,2934,2948
139,0.9724562168121338,QUANTITY,one rose,3007,3015
140,0.9590460658073425,QUANTITY,one rose,3212,3220
141,0.9794517159461975,QUANTITY,two,3318,3321
142,0.9939788579940796,QUANTITY,second time,3452,3463
143,0.9997027516365051,PERSON,Lina,3526,3530
144,0.9986509680747986,PERSON,Fundevogel,3538,3548
145,0.998544454574585,PERSON,Fundevogel,3595,3605
146,0.9995802044868469,PERSON,Lina,3642,3646
147,0.9967522621154785,QUANTITY,three servants,3725,3739
148,0.9971122741699219,QUANTITY,three servants,4224,4238
149,0.9983214735984802,QUANTITY,three servants,4313,4327
150,0.9994432330131531,PERSON,Lina,4385,4389
151,0.9987704157829285,PERSON,Fundevogel,4392,4402
152,0.9993880987167358,PERSON,Fundevogel,4459,4469
